44TZ ,Emoticon ,0Text$ ,2CreatedM ,16Name ,17Loc$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakarta ,xD ,FT Singapore 0 - 2 Indonesia #SEAGames #YES xD ,Fri Nov 11 09:00:09 +0000 2011 ,Anita Tristi ,"Gresik, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakarta ,:D ,"Atas koreksi dr @BhebenOscar n @LekatKaulan,, wiskul td siang d Pindang Musi Rawas.. :D ",Fri Nov 11 09:00:09 +0000 2011 ,Stefani Dian Cheri ,"T: -6.228339,106.819373",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Time (US & Canada) ,:p ,Bahasa gua di copas RT @ShafitaPutri: Terus gue harus bilang waw gitu?? @LuthfanDfn: O RT ShafitaPutri: Dua duanya :p @LuthfanDfn: Menurut ,Fri Nov 11 09:00:09 +0000 2011 ,Luthfiandi akbar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,haha nggak juga kok :) RT @sumi_ICONIA: napa min? seneng bgt kyknya *eh RT @antiCherryBelle: -_-v RT (cont) http://t.co/8elRkzO6 ,Fri Nov 11 09:00:09 +0000 2011 ,anti Cherrybelle ,CHITERS HEART =),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:D ,@noorlaura biarin :D ,Fri Nov 11 09:00:09 +0000 2011 ,mohd.fauzy ,indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,Great view on the beach....wait for sunset...n dinner after that... :) (@ Jimbaran Beach Seafood) http://t.co/3FS6Ha4b ,Fri Nov 11 09:00:09 +0000 2011 ,etry rosavelle ,in the world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,(>_<) ,@kkangjii (&gt;_&lt;) ,Fri Nov 11 09:00:09 +0000 2011 ,ZEBRA ,Japan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Time (US & Canada) ,:* ,ikut tp ak blm dpt kuponRT @kamiliaridwan Besok ikut jln sht? RT @nidya_tata hahaw {} :* RT @kamiliaridwan Awawaw ... http://t.co/iDR1X0mG ,Fri Nov 11 09:00:09 +0000 2011 ,Nidya Rizkita Putri ,always beside you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,RT @LolFerreira: Luuuci hoy es tu cuuuumple!! Se muuuy feliiiiz luuuuciii :) @LuciadlMorena ,Fri Nov 11 09:00:09 +0000 2011 ,ANDREA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Time (US & Canada) ,:D ,EO entepreneur :D ,Fri Nov 11 09:00:09 +0000 2011 ,Ulfa Shabrina Amelia ,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auckland ,;) ,@SpoonfedStrLamp HOWEVER I suppose if you really don't like the way you look then you should totally not share- fair enough! ;) ,Fri Nov 11 09:00:09 +0000 2011 ,wolfmonkey ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,@Rhncnclk :) buda iyiymi ,Fri Nov 11 09:00:09 +0000 2011 ,zeynep gabrali ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,"Follback dng ka tapi :) yaya,ud ak follow thRT @raffi_ahmad ",Fri Nov 11 09:00:09 +0000 2011 ,Shitiy jafannix ,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quito ,:/ ,"Tato ""@UptownBoiiRicky: @VivalaMUNCH lmaooo we have to talk about the ice skating thing :/ I'm a DM u lol"" ",Fri Nov 11 09:00:10 +0000 2011 ,Kaitlin Abreu  ,NY | MIA | LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Time (US & Canada) ,:D ,peace too :D RT @anggraini_anggi: peacee..RT marianariaria: cembalangan  RT @anggraini_anggi: asma ... (more) http://t.co/8FysYA9u ,Fri Nov 11 09:00:10 +0000 2011 ,Siti Mariana ,"Balikpapan, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucharest ,:-) ,RT @manafu: Mai am chef de o petrecere cu oameni din online. Cine simte ca mine e rugat sa dea RT. :-) ,Fri Nov 11 09:00:10 +0000 2011 ,Cristian Lupulescu ,"Bucharest, Romania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,"Okeeee sissst :) RT @Michieoline: @archangelicious kalao bawa jemput aku u,u ",Fri Nov 11 09:00:10 +0000 2011 ,Natalia Angel Siauw ,japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,Besok ada Workshop & pementasan Wayang Beber lg di Kampoeng N'Jajan #YouthArea UG. Workshop mulai jam 12. Ayo lestarikan budaya kita! :) ,Fri Nov 11 09:00:10 +0000 2011 ,Supermal Karawaci ,"Tangerang, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stockholm ,:-) ,@dito_se nu hnger jag med :-) Vlkommen till twitter! ,Fri Nov 11 09:00:10 +0000 2011 ,Bokmania/Ivana ,"Eskilstuna, Sverige",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Time (US & Canada) ,-_- ,YEAY!!!!!!!main!!!!btw bls sms asap!RT @auliyaaPU Oke gue pulang dalam keadaan masih pake seragam -_- ,Fri Nov 11 09:00:10 +0000 2011 ,DIHPS ,"London,united kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,@nMeeDiN Both innings :) ,Fri Nov 11 09:00:10 +0000 2011 ,Sidath Sameera ,"Kurunegala, Sri Lanka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,:) ,follback yaa @fani_oji :) ,Fri Nov 11 09:00:10 +0000 2011 , 250495  160796  ,"Cilacap, jawa tengah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii ,:-) ,@senthilchn ha ha naanum :-) ,Fri Nov 11 09:00:10 +0000 2011 ,sandhyacharu ,india,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific Time (US & Canada) ,:p ,amiirr :p -_-v RT @alda_nugrahini sopo se yang pake' nomer pribadi iki... ,Fri Nov 11 09:00:10 +0000 2011 ,Fidhaaa () ,In Your Heart () ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tokyo ,(^^) ,@pikoblue (^^) ,Fri Nov 11 09:00:10 +0000 2011 ,satsuki ,Gifu Takayama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
